filename,source,photo_id,city,state,lat,lon,url,title,photographer,downloaded_at,size,hash
pexels_Ciudad de México_CDMX_0_1764045676.jpg,pexels,,Ciudad de México,CDMX,19.432608,-99.133209,https://images.pexels.com/photos/25204946/pexels-photo-25204946.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 25204946,,2025-11-24T23:41:17.301370,209757,86007528789d9e627378fca007130f7c
pexels_Ciudad de México_CDMX_1_1764045677.jpg,pexels,,Ciudad de México,CDMX,19.432608,-99.133209,https://images.pexels.com/photos/31395467/pexels-photo-31395467.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 31395467,,2025-11-24T23:41:18.277594,254269,ce8872d00fe1e3cfa118dc5af82981d2
pexels_Ciudad de México_CDMX_2_1764045678.jpg,pexels,,Ciudad de México,CDMX,19.432608,-99.133209,https://images.pexels.com/photos/30533977/pexels-photo-30533977.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 30533977,,2025-11-24T23:41:19.168551,340980,30a8dcfe32f00a0909e04514ce293b39
pexels_Ciudad de México_CDMX_3_1764045679.jpg,pexels,,Ciudad de México,CDMX,19.432608,-99.133209,https://images.pexels.com/photos/16110656/pexels-photo-16110656.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 16110656,,2025-11-24T23:41:20.197942,329823,a937565750ae3108479606765e89ab03
pexels_Ciudad de México_CDMX_4_1764045680.jpg,pexels,,Ciudad de México,CDMX,19.432608,-99.133209,https://images.pexels.com/photos/30938119/pexels-photo-30938119.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 30938119,,2025-11-24T23:41:21.059105,134666,b2ab7c50a3305f5a8323e346d90314d2
wikimedia_Guadalajara_Jalisco_1_1764045686.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/1/16/Catedral_%28Guadalajara%2C_Jalisco%29_bnw00062.jpg,"File:Catedral (Guadalajara, Jalisco) bnw00062.jpg",,2025-11-24T23:41:27.479610,6866342,279379d8f956c743fe5d43482f6d1342
wikimedia_Guadalajara_Jalisco_4_1764045692.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/6/6a/Coca_Cola_van%2C_Guadalajara_Mexico.jpg,"File:Coca Cola van, Guadalajara Mexico.jpg",,2025-11-24T23:41:32.840181,1867335,ef0349c4579d9f710eec6b5b896bd25b
wikimedia_Guadalajara_Jalisco_5_1764045693.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/2/2f/Glorieta_Minerva%2C_Guadalajara%2CJalisco%2C_Mexico.jpg,"File:Glorieta Minerva, Guadalajara,Jalisco, Mexico.jpg",,2025-11-24T23:41:33.959589,339915,a912d4819ef55e812867c97deb05e7fd
wikimedia_Guadalajara_Jalisco_6_1764045694.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/6/6f/Guadalajara%2C_Jalisco%2C_Mexico_%282021%29_-_091.jpg,"File:Guadalajara, Jalisco, Mexico (2021) - 091.jpg",,2025-11-24T23:41:35.271887,2209119,4adc562ce31f602b9d782669ce75c35a
wikimedia_Guadalajara_Jalisco_7_1764045695.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/6/6c/Guadalajara%2C_Jalisco%2C_Mexico_%282021%29_-_149.jpg,"File:Guadalajara, Jalisco, Mexico (2021) - 149.jpg",,2025-11-24T23:41:36.644964,2442242,5d79d9c0c4ec43d1dd65aa09507ba17b
wikimedia_Guadalajara_Jalisco_8_1764045697.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/c/c0/Guadalajara%2C_Jalisco%2C_Mexico_%282021%29_-_151.jpg,"File:Guadalajara, Jalisco, Mexico (2021) - 151.jpg",,2025-11-24T23:41:37.975107,3005211,2bbe1f2f0a7f48cd283bd729a621f494
wikimedia_Guadalajara_Jalisco_9_1764045698.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/0/0a/Guadalajara_2.jpg,File:Guadalajara 2.jpg,,2025-11-24T23:41:39.595781,2706339,596018aec7f69a7c8e2c9a2fd24f653c
wikimedia_Guadalajara_Jalisco_10_1764045700.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/f/fc/Guadalajara_M%C3%A9xico_Temple_2.jpeg,File:Guadalajara México Temple 2.jpeg,,2025-11-24T23:41:40.889249,1042531,5d11bf96b6c32f697e7d4e43b219fb24
wikimedia_Guadalajara_Jalisco_12_1764045703.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/7/77/Marcha_8_de_marzo_de_2025_en_Guadalajara%2C_M%C3%A9xico_20.jpg,"File:Marcha 8 de marzo de 2025 en Guadalajara, México 20.jpg",,2025-11-24T23:41:43.942566,284955,a4902ec1ded9c4784133faf06daf1da4
wikimedia_Guadalajara_Jalisco_13_1764045704.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/3/38/Panor%C3%A1mica_Guadalajara_desde_edificio_Bansi_hacia_norte_%28cropped%29.jpg,File:Panorámica Guadalajara desde edificio Bansi hacia norte (cropped).jpg,,2025-11-24T23:41:46.333227,4300101,589792e1f06f974259094ff57bfd875c
wikimedia_Guadalajara_Jalisco_14_1764045706.jpg,wikimedia,,Guadalajara,Jalisco,20.659699,-103.349609,https://upload.wikimedia.org/wikipedia/commons/5/5b/Parroquia_San_Juan_de_Dios_%28Guadalajara%2C_Jalisco%29_5637.jpg,"File:Parroquia San Juan de Dios (Guadalajara, Jalisco) 5637.jpg",,2025-11-24T23:41:48.366270,2204370,966c4725991c6b3dbf46e320d08b4bea
pexels_Guadalajara_Jalisco_0_1764045710.jpg,pexels,,Guadalajara,Jalisco,20.659699,-103.349609,https://images.pexels.com/photos/12316510/pexels-photo-12316510.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 12316510,,2025-11-24T23:41:51.618223,322889,6c33ea508b59a84c17b6bedfd8e63f1b
pexels_Guadalajara_Jalisco_1_1764045712.jpg,pexels,,Guadalajara,Jalisco,20.659699,-103.349609,https://images.pexels.com/photos/543252/pexels-photo-543252.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 543252,,2025-11-24T23:41:52.643624,276249,a190f385c35f965a55d12ec78e591c19
pexels_Guadalajara_Jalisco_2_1764045713.jpg,pexels,,Guadalajara,Jalisco,20.659699,-103.349609,https://images.pexels.com/photos/3680770/pexels-photo-3680770.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 3680770,,2025-11-24T23:41:53.670525,329962,94d2bf905914c09da10b04bdbdec4ea0
pexels_Guadalajara_Jalisco_3_1764045714.jpg,pexels,,Guadalajara,Jalisco,20.659699,-103.349609,https://images.pexels.com/photos/10040010/pexels-photo-10040010.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 10040010,,2025-11-24T23:41:54.610360,243157,db35c708ecb21572a59c5e976bd69c18
wikimedia_Monterrey_Nuevo León_0_1764045715.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/0/0d/Aeropuerto_Internacional_de_Monterrey.jpg,File:Aeropuerto Internacional de Monterrey.jpg,,2025-11-24T23:41:56.402286,585905,dafdbae0a5514d9dea1f57f8d54aeb94
wikimedia_Monterrey_Nuevo León_1_1764045716.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/3/36/Cathedral_of_Monterrey_Mexico-1-.jpg,File:Cathedral of Monterrey Mexico-1-.jpg,,2025-11-24T23:41:57.569715,1399824,74f3833369d3e378f940db5364605f5b
wikimedia_Monterrey_Nuevo León_5_1764045827.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/5/57/Mexican_President_Avila_Camacho_in_Monterrey%2C_Mexico_-_NARA_-_196060.jpg,"File:Mexican President Avila Camacho in Monterrey, Mexico - NARA - 196060.jpg",,2025-11-24T23:43:48.058071,1347893,7d3312a377958c2be1fb280f98f16263
wikimedia_Monterrey_Nuevo León_7_1764045831.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/0/0b/Mexico_Nuevo_Leon_Monterrey_Municipal_election_2018.png,File:Mexico Nuevo Leon Monterrey Municipal election 2018.png,,2025-11-24T23:43:51.910480,197968,24b826f5b9854134fc85009b7e76b74f
wikimedia_Monterrey_Nuevo León_8_1764045832.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/1/15/Monterrey%2C_Mexico_LGBT_event.jpg,"File:Monterrey, Mexico LGBT event.jpg",,2025-11-24T23:43:53.042499,301116,3c371b9149acec861450b75324138165
wikimedia_Monterrey_Nuevo León_9_1764045833.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/5/53/Monterrey_Mexico_1889.jpg,File:Monterrey Mexico 1889.jpg,,2025-11-24T23:43:54.080825,97774,c3bb3dce23850050acb94160668a089e
wikimedia_Monterrey_Nuevo León_10_1764045834.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/e/ed/Monterrey_concert_silhouette_%28Unsplash%29.jpg,File:Monterrey concert silhouette (Unsplash).jpg,,2025-11-24T23:43:55.853676,6572545,53cb3e914a96a622c6b839547de910d9
wikimedia_Monterrey_Nuevo León_11_1764045836.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/f/ff/Monterrey_mexico_from_space.jpg,File:Monterrey mexico from space.jpg,,2025-11-24T23:43:56.897372,107320,d792b1b8515fbf30c3969e978e6c46ac
wikimedia_Monterrey_Nuevo León_12_1764045837.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/b/bb/Our_Lady_of_Refuge_Church%2C_Monterrey%2C_Nuevo_Leon%2C_Mexico.jpg,"File:Our Lady of Refuge Church, Monterrey, Nuevo Leon, Mexico.jpg",,2025-11-24T23:43:57.875916,80649,d3d8323a17c1640d3b7729b2bb807406
wikimedia_Monterrey_Nuevo León_13_1764045838.jpg,wikimedia,,Monterrey,Nuevo León,25.686613,-100.316116,https://upload.wikimedia.org/wikipedia/commons/5/55/Plan_of_Monterrey_Mexico_1919.GIF,File:Plan of Monterrey Mexico 1919.GIF,,2025-11-24T23:43:59.020520,413274,d0ee51e7b149046ca7afe69e15219da8
pexels_Monterrey_Nuevo León_0_1764045842.jpg,pexels,,Monterrey,Nuevo León,25.686613,-100.316116,https://images.pexels.com/photos/12407300/pexels-photo-12407300.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 12407300,,2025-11-24T23:44:02.403394,185251,b368379622c7d6405a4d795f92bc685b
pexels_Monterrey_Nuevo León_1_1764045842.jpg,pexels,,Monterrey,Nuevo León,25.686613,-100.316116,https://images.pexels.com/photos/698889/pexels-photo-698889.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 698889,,2025-11-24T23:44:03.273269,364294,77bd190918057d8a942be5eac04422e7
pexels_Monterrey_Nuevo León_2_1764045843.jpg,pexels,,Monterrey,Nuevo León,25.686613,-100.316116,https://images.pexels.com/photos/732157/pexels-photo-732157.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 732157,,2025-11-24T23:44:04.209719,474237,819fd5f4f3bfa4949aec2ea39f6b8cd7
pexels_Monterrey_Nuevo León_3_1764045844.jpg,pexels,,Monterrey,Nuevo León,25.686613,-100.316116,https://images.pexels.com/photos/12327672/pexels-photo-12327672.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 12327672,,2025-11-24T23:44:05.118235,428546,aab42e4ca2c258a73bc46f73f7828b03
pexels_Monterrey_Nuevo León_4_1764045845.jpg,pexels,,Monterrey,Nuevo León,25.686613,-100.316116,https://images.pexels.com/photos/5395585/pexels-photo-5395585.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 5395585,,2025-11-24T23:44:06.049167,329346,014d9574346bb52824cf69f2583935ff
wikimedia_Puebla_Puebla_0_1764045847.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/b/bd/Camino_a_Ahuehuetes_-_Tepeojuma_-_Puebla_-_M%C3%A9xico_HDR.jpg,File:Camino a Ahuehuetes - Tepeojuma - Puebla - México HDR.jpg,,2025-11-24T23:44:07.916952,645017,dd9def2f9e0714fb5f708c05942ecf5a
wikimedia_Puebla_Puebla_1_1764045848.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/a/a3/Catedral_de_Puebla%2C_M%C3%A9xico%2C_2013-10-11%2C_DD_13.JPG,"File:Catedral de Puebla, México, 2013-10-11, DD 13.JPG",,2025-11-24T23:44:09.794711,6961263,679e1c1d4b049d0aa3a57a59d52308ae
wikimedia_Puebla_Puebla_2_1764045850.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/e/ec/Catedral_de_Puebla%2C_M%C3%A9xico%2C_2013-10-11%2C_DD_17.JPG,"File:Catedral de Puebla, México, 2013-10-11, DD 17.JPG",,2025-11-24T23:44:11.337103,4732892,66a7d1fa25bb24133624ff7a611cc8c8
wikimedia_Puebla_Puebla_3_1764045851.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/a/a5/Mexico-Popocatepetl.jpg,File:Mexico-Popocatepetl.jpg,,2025-11-24T23:44:12.891799,4439330,a45e70b5077c4fc7dcd1af58af7b4b66
wikimedia_Puebla_Puebla_4_1764045853.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/9/91/Parroquia_de_Santa_Clara_de_As%C3%ADs%2C_Puebla%2C_M%C3%A9xico%2C_2013-10-11%2C_DD_03.JPG,"File:Parroquia de Santa Clara de Asís, Puebla, México, 2013-10-11, DD 03.JPG",,2025-11-24T23:44:14.824731,8065177,89a0368dfd988638646f2200f63562d4
wikimedia_Puebla_Puebla_5_1764045855.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/c/c4/Puebla%2C_Mexico_%282018%29_-_002.jpg,"File:Puebla, Mexico (2018) - 002.jpg",,2025-11-24T23:44:16.220925,2825487,4228518e026a6f1377983d20c8349604
wikimedia_Puebla_Puebla_6_1764045856.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/5/5f/Puebla_en_M%C3%A9xico.svg,File:Puebla en México.svg,,2025-11-24T23:44:17.330727,328617,b1168a904d567750229b5280ffa5436f
wikimedia_Puebla_Puebla_7_1764045857.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/0/0b/Puebla_in_Mexico_%28location_map_scheme%29.svg,File:Puebla in Mexico (location map scheme).svg,,2025-11-24T23:44:18.718387,1499342,b0fe0ee7a2ad8f5e0cc5e3295a3499e6
wikimedia_Puebla_Puebla_8_1764045859.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/f/fb/Street_Scene_-_Puebla_-_Mexico_-_December_2024.jpg,File:Street Scene - Puebla - Mexico - December 2024.jpg,,2025-11-24T23:44:20.507468,6291015,4d2876620ba77247e20c5c9887eb27ce
wikimedia_Puebla_Puebla_9_1764045861.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/0/03/Street_Scene_at_Dusk_-_Puebla_-_Mexico_2024.jpg,File:Street Scene at Dusk - Puebla - Mexico 2024.jpg,,2025-11-24T23:44:21.954183,3684064,e072b25bf5d097e39437f6f18c4e3db5
wikimedia_Puebla_Puebla_10_1764045862.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/d/d1/Teatro_Principal%2C_Puebla%2C_M%C3%A9xico%2C_2013-10-11%2C_DD_02.JPG,"File:Teatro Principal, Puebla, México, 2013-10-11, DD 02.JPG",,2025-11-24T23:44:23.620028,5910094,93a526a3917edc8aaa8392849a132b41
wikimedia_Puebla_Puebla_12_1764045866.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/1/12/Zona_arqueol%C3%B3gica_de_Cantona%2C_Puebla%2C_M%C3%A9xico%2C_2013-10-11%2C_DD_02.JPG,"File:Zona arqueológica de Cantona, Puebla, México, 2013-10-11, DD 02.JPG",,2025-11-24T23:44:27.314489,6403280,0d8258c8cca5a1142e0be26563ae472b
wikimedia_Puebla_Puebla_13_1764045867.jpg,wikimedia,,Puebla,Puebla,19.041296,-98.2062,https://upload.wikimedia.org/wikipedia/commons/5/53/Zona_arqueol%C3%B3gica_de_Cantona%2C_Puebla%2C_M%C3%A9xico%2C_2013-10-11%2C_DD_36.JPG,"File:Zona arqueológica de Cantona, Puebla, México, 2013-10-11, DD 36.JPG",,2025-11-24T23:44:29.067362,6643057,cd3dd8d37ff08474f906abad947b8da2
pexels_Puebla_Puebla_0_1764045873.jpg,pexels,,Puebla,Puebla,19.041296,-98.2062,https://images.pexels.com/photos/30606987/pexels-photo-30606987.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 30606987,,2025-11-24T23:44:33.857014,169775,50dbe99a5acbb4eb411c82d4c9e215b5
pexels_Puebla_Puebla_1_1764045874.jpg,pexels,,Puebla,Puebla,19.041296,-98.2062,https://images.pexels.com/photos/1453799/pexels-photo-1453799.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Pexels 1453799,,2025-11-24T23:44:34.729368,273155,4d13f135010eb7c059c8e32ca4c752b4
wikimedia_Tijuana_Baja California_0_1764045875.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/0/0b/Border_USA_Mexico.jpg,File:Border USA Mexico.jpg,,2025-11-24T23:44:37.248070,7009879,52092324475d083aff3f08052e37f4c3
wikimedia_Tijuana_Baja California_1_1764045877.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/a/ab/Border_Wall_at_Tijuana_and_San_Diego_Border.jpg,File:Border Wall at Tijuana and San Diego Border.jpg,,2025-11-24T23:44:38.700374,4083352,a48a34c6110a0966768e6416f3ab69bd
wikimedia_Tijuana_Baja California_2_1764045879.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/4/4c/Carretera_Mexicali-_Tijuana%2C_M%C3%A9xico.jpg,"File:Carretera Mexicali- Tijuana, México.jpg",,2025-11-24T23:44:39.963507,1398947,2b16d979bd2acdfd5abdf6956ba302b6
wikimedia_Tijuana_Baja California_3_1764045880.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/4/4a/Mexico-US_border_at_Tijuana.jpg,File:Mexico-US border at Tijuana.jpg,,2025-11-24T23:44:42.023574,9614570,ab1242f131fe570d90468491f3f75fbe
wikimedia_Tijuana_Baja California_4_1764045882.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/8/8f/Taxis_in_Tijuana_2005.jpg,File:Taxis in Tijuana 2005.jpg,,2025-11-24T23:44:43.259932,1394661,42a68fa50dd585ea3a6f024a4345e2f7
wikimedia_Tijuana_Baja California_5_1764045883.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/5/55/Templo_Morm%C3%B3n_Tijuana_%28cropped%29.jpg,File:Templo Mormón Tijuana (cropped).jpg,,2025-11-24T23:44:44.218402,55274,90b97d4b8b72ec4ded82c44bc3d71277
wikimedia_Tijuana_Baja California_6_1764045884.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/b/b7/Templo_Tijuana_Mexico.jpg,File:Templo Tijuana Mexico.jpg,,2025-11-24T23:44:45.505208,1756104,33edae10cc2a13250616b1b290fdd2ad
wikimedia_Tijuana_Baja California_7_1764045886.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/f/f5/Templo_Tijuana_Mexico_%28cropped%29.jpg,File:Templo Tijuana Mexico (cropped).jpg,,2025-11-24T23:44:46.686085,1213208,f4f36a5479eb0d904259a2c62c33c1f8
wikimedia_Tijuana_Baja California_8_1764045887.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/f/fd/Tijuana%2C_Mexico_at_Night.jpg,"File:Tijuana, Mexico at Night.jpg",,2025-11-24T23:44:47.956415,1638945,ab9deb3318f57df04a428bec341aa9bd
wikimedia_Tijuana_Baja California_9_1764045888.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/2/22/Tijuana_1965_-_Zebras_Touristicas.jpg,File:Tijuana 1965 - Zebras Touristicas.jpg,,2025-11-24T23:44:49.126929,741513,c4c4ac5768d0180d84cc4a7e6fd6a672
wikimedia_Tijuana_Baja California_10_1764045889.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/f/f8/Tijuana_Mexico_LDS_Temple.jpg,File:Tijuana Mexico LDS Temple.jpg,,2025-11-24T23:44:50.572651,3086148,96076d21245aa0d612dfb7070d376872
wikimedia_Tijuana_Baja California_11_1764045891.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/8/87/Tijuana_Mexico_Temple.jpg,File:Tijuana Mexico Temple.jpg,,2025-11-24T23:44:51.635039,202202,d374bb66720fb4252fe359bb0248e046
wikimedia_Tijuana_Baja California_12_1764045892.jpg,wikimedia,,Tijuana,Baja California,32.514946,-117.038246,https://upload.wikimedia.org/wikipedia/commons/a/a0/Tijuana_Mexico_Temple_2.jpg,File:Tijuana Mexico Temple 2.jpg,,2025-11-24T23:44:52.729961,282589,a3875272a05eccd045734038e106451c
